"0","0","0[-,s,m]","BAve","L25","imp","0","s","m"
"0_saka_wA_ho_0","0_sakawA_ho","0[-,-,-]saka_wA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L19","n","-2","-1","-1"
"0_saka_wA_ho_future","0_sakawA_ho_future","0[-,-,-]saka_wA[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L19","n","-1","-1","-1"
"0_saka_yA","0_sakA","0[-,-,-]saka_yA[g_v,n_v,-]","karwA","L19","n","-1","-1","0"
"0_saka_yA_WA_WA","0_sakA_WA","0[-,-,-]saka_yA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L19","n","-1","-1","0"
"0_saka_yA_hE_hE","0_sakA_hE","0[-,-,-]saka_yA[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L19","n","-2","-1","-1"
"0_saka_yA_ho_0","0_sakA_ho","0[-,-,-]saka_yA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L19","n","-2","-1","-1"
"0_saka_yA_ho_future","0_sakA_ho_future","0[-,-,-]saka_yA[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L19","n","-1","-1","-1"
"0_saka_yA_ho_wA","0_sakA_howA","0[-,-,-]saka_yA[g_v,n_v,-]ho_wA[g_v,n_v,-]","karwA","L19","n","-1","-1","0"
"0_xe_future","0_xe_future","0[-,-,-]xe_future[g_v,n_v,p_v]","karwA","L16","n","-1","-1","-1"
"0_xe_nA","0_xenA","0[-,-,-]xe_nA[-,s,m]","BAve","L16","imp","0","s","m"
"0_xe_subj","0_xe_subj","0[-,-,-]xe_subj[-,n_v,p_v]","BAve","L16","n","0","-1","-1"
"0_xe_wA","0_xewA","0[-,-,-]xe_wA[g_v,n_v,-]","karwA","L16","n","-1","-1","0"
"0_xe_wA_WA_WA","0_xewA_WA","0[-,-,-]xe_wA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L16","n","-1","-1","0"
"0_xe_wA_hE_hE","0_xewA_hE","0[-,-,-]xe_wA[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L16","n","-2","-1","-1"
"0_xe_wA_ho_0","0_xewA_ho","0[-,-,-]xe_wA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L16","n","-2","-1","-1"
